date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:48	11567/11567	---M--	200	added ('OK')	image/jpeg	etag:%22ff7a421a0bd64ebc6195bb3fb10bf8fb%22	https://cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b63d346bbdd08b76f948c4_review-02.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b63d346bbdd08b76f948c4_review-02.jpg	(from https://readster-template.webflow.io/)
20:59:48	65362/65362	---M--	200	added ('OK')	image/jpeg	etag:%22984cbda5d15d2d97d62af3d9f4f4b720%22	https://cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b65c072152ab63f7801aad_about-small.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b65c072152ab63f7801aad_about-small.jpg	(from https://readster-template.webflow.io/)
20:59:48	158529/158529	---M--	200	added ('OK')	image/jpeg	etag:%22ed88da3990e5f31a610d519490500a4e%22	https://cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b65c076e64fe4278c64362_about-big.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b65c076e64fe4278c64362_about-big.jpg	(from https://readster-template.webflow.io/)
20:59:48	41111/41111	---M--	200	added ('OK')	image/jpeg	etag:%2208287acb728ebf5b15e7130ec26d527f%22	https://cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b667ebd3a2a264e26fd82c_biography.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b667ebd3a2a264e26fd82c_biography.jpg	(from https://readster-template.webflow.io/)
20:59:48	27516/27516	---M--	200	added ('OK')	image/jpeg	etag:%229f26d8ca750f1bdcaee7ce4813f5d5f3%22	https://cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b667ebcbb311f07e232944_novel.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b667ebcbb311f07e232944_novel.jpg	(from https://readster-template.webflow.io/)
20:59:49	50971/50971	---M--	200	added ('OK')	image/jpeg	etag:%22d1ad98bac870a3ed6c01a8ea0cf19f65%22	https://cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b667ebb53f528e8fb001ac_self-help.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b667ebb53f528e8fb001ac_self-help.jpg	(from https://readster-template.webflow.io/)
20:59:49	40627/40627	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2017:59:50%20GMT	https://readster-template.webflow.io/product/the-psychology-of-money	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/product/the-psychology-of-money.html	(from https://readster-template.webflow.io/)
20:59:49	150757/150757	---M--	200	added ('OK')	image/jpeg	etag:%22a089a2ac0c288c499e4f9564c8a6fa9d%22	https://cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64ba5abe5edf60c6b4ec5e3e_book-main-13.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64ba5abe5edf60c6b4ec5e3e_book-main-13.jpg	(from https://readster-template.webflow.io/)
20:59:50	40844/40844	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2017:59:50%20GMT	https://readster-template.webflow.io/product/educated	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/product/educated.html	(from https://readster-template.webflow.io/)
20:59:50	61320/61320	---M--	200	added ('OK')	image/jpeg	etag:%22ca9cd4c0aa14fdad61460b236a9fe794%22	https://cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64be0825ec69631e3132ef29_book-main-24.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64be0825ec69631e3132ef29_book-main-24.jpg	(from https://readster-template.webflow.io/)
20:59:50	40927/40927	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2017:59:51%20GMT	https://readster-template.webflow.io/product/where-the-crawdads-sing	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/product/where-the-crawdads-sing.html	(from https://readster-template.webflow.io/)
20:59:50	161034/161034	---M--	200	added ('OK')	image/jpeg	etag:%2253d81e28b99cfb56e7c655b8ef940238%22	https://cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64be0bb896697a59a996a3bb_book-main-08.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64be0bb896697a59a996a3bb_book-main-08.jpg	(from https://readster-template.webflow.io/)
20:59:51	40871/40871	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2017:59:51%20GMT	https://readster-template.webflow.io/product/to-kill-a-mockingbird	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/product/to-kill-a-mockingbird.html	(from https://readster-template.webflow.io/)
20:59:51	73616/73616	---M--	200	added ('OK')	image/jpeg	etag:%22d8bc8040b5a580225496561447fa631d%22	https://cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64ba6870fa4742b8e114fd72_book-main-09.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64ba6870fa4742b8e114fd72_book-main-09.jpg	(from https://readster-template.webflow.io/)
20:59:51	40548/40548	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2017:59:52%20GMT	https://readster-template.webflow.io/product/the-almanack-of-naval-ravikant	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/product/the-almanack-of-naval-ravikant.html	(from https://readster-template.webflow.io/)
20:59:51	38387/38387	---M--	200	added ('OK')	image/jpeg	etag:%2292c7281651ee621514f4614a45f883cf%22	https://cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64ba63853e598ba215b87048_book-main-19.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64ba63853e598ba215b87048_book-main-19.jpg	(from https://readster-template.webflow.io/)
20:59:51	122995/122995	---M--	200	added ('OK')	image/jpeg	etag:%22741b47fb303d8d57cb3595024a42ec06%22	https://cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64ba66a6f0d3c57c333072b9_book-main-10.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64ba66a6f0d3c57c333072b9_book-main-10.jpg	(from https://readster-template.webflow.io/)
20:59:52	40551/40551	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2017:59:52%20GMT	https://readster-template.webflow.io/product/tuesdays-with-morrie	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/product/tuesdays-with-morrie.html	(from https://readster-template.webflow.io/)
20:59:52	47960/47960	---M--	200	added ('OK')	image/jpeg	etag:%22e26b11c32949bb2e54c0122b56080ede%22	https://cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64ba678e4ea0e4d87b407c20_book-main-20.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64ba678e4ea0e4d87b407c20_book-main-20.jpg	(from https://readster-template.webflow.io/)
20:59:52	40654/40654	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2017:59:53%20GMT	https://readster-template.webflow.io/product/the-alchemist	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/product/the-alchemist.html	(from https://readster-template.webflow.io/)
20:59:52	54127/54127	---M--	200	added ('OK')	image/jpeg	etag:%22f2175887f5b1d904142f8e77f4c7d8ea%22	https://cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64ba6715ea0a30cccbac89aa_book-main-03.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/64b787e06a1ea8dedc36b707/64ba6715ea0a30cccbac89aa_book-main-03.jpg	(from https://readster-template.webflow.io/)
